# FLAVOR,TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
cli,,vis,"is a minimal text editor based on vi and Plan9's structural regular expressions."
desktop,,xorg-server,"is the graphical server. This first one may take a while as it pulls many other dependencies first on clean installs."
desktop,,xorg-xwininfo,"allows querying information about windows."
desktop,,xorg-xinit,"starts the graphical server."
desktop,,xorg-xset,"utility for configuring and ajusting X server"
desktop,,polkit,"manages user policies."
desktop,,libertinus-font,"provides the sans and serif fonts for LARBS."
desktop,,ttf-font-awesome,"provides extended glyph support."
desktop,,ttf-dejavu,"properly displays emojis."
cli,,lf,"is an extensive terminal file manager that everyone likes."
# ,ueberzug,"enables previews in the lf file manager."
cli,,bc,"is a mathematics language used for the dropdown calculator."
desktop,,xcompmgr,"is for transparency and removing screen-tearing."
desktop,,xorg-xprop,"is a tool for detecting window properties."
desktop,,arandr,"allows the user to customize monitor arrangements."
desktop,,dosfstools,"allows your computer to access dos-like filesystems."
desktop,,libnotify,"allows desktop notifications."
desktop,,dunst,"is a suckless notification system."
# ,calcurse,"terminal-based organizer for interactive and command line use"
desktop,,exfat-utils,"allows management of FAT drives."
desktop,,nsxiv,"is a minimalist image viewer."
desktop,,xwallpaper,"sets the wallpaper."
cli,,ffmpeg,"can record and splice video and audio on the command line."
desktop,,ffmpegthumbnailer,"creates thumbnail previews of video files."
desktop,,gnome-keyring,"serves as the system keyring."
desktop,,gtk-theme-arc-gruvbox-git,"gives the dark GTK theme used in LARBS."
desktop,,python-qdarkstyle,"provides a dark Qt theme."
desktop,,mpd,"is a lightweight music daemon."
desktop,,mpc,"is a terminal interface for mpd."
desktop,,mpv,"is the patrician's choice video player."
cli,,man-db,"lets you read man pages of programs."
desktop,,ncmpcpp,"a ncurses interface for music with multiple formats and a powerful tag editor."
cli,,newsboat,"is a terminal RSS client."
# A,librewolf-bin,"is the default browser of LARBS which also comes with ad-blocking and other sensible and necessary features by default."
# A,arkenfox-user.js,"provides hardened security settings for Firefox and Librewolf to avoid Mozilla spyware and general web fingerprinting."
desktop,,noto-fonts,"is an expansive font package."
desktop,,noto-fonts-emoji,"is an emoji font."
desktop,,ntfs-3g,"allows accessing NTFS partitions."
desktop,,wireplumber,"is the audio system."
desktop,,pipewire-pulse,"gives pipewire compatibility with PulseAudio programs."
desktop,,pulsemixer,"is an audio controller."
# cli,,sc-im,"is an Excel-like terminal spreadsheet manager."
desktop,,maim,"can take quick screenshots at your request."
desktop,,abook,"is an offline addressbook usable by neomutt."
desktop,,unclutter,"hides an inactive mouse."
desktop,,unzip,"unzips zips."
desktop,,xcape,"gives the special escape/super mappings of LARBS."
desktop,,xclip,"allows for copying and pasting from the command line."
desktop,,xdotool,"provides window action utilities on the command line."
cli,,yt-dlp,"can download any YouTube video (or playlist or channel) when given the link."
desktop,,zathura,"is a pdf viewer with vim-like bindings."
desktop,,zathura-pdf-mupdf,"allows mupdf pdf compatibility in zathura."
cli,,poppler,"manipulates .pdfs and gives .pdf previews and other .pdf functions."
cli,,mediainfo,"shows audio and video information and is used in the file browser."
cli,,atool,"manages and gives information about archives."
cli,,fzf,"is a fuzzy finder tool used for easy selection and location of files."
cli,,bat,"can highlight code output and display files and is used to generate previews in the file browser."
desktop,,xorg-xbacklight,"enables changing screen brightness levels."
# A,zsh-fast-syntax-highlighting-git,"provides syntax highlighting in the shell."
# A,task-spooler,"queues commands or files for download."
# A,simple-mtpfs,"enables the mounting of cell phones."
# A,htop-vim,"is a graphical and colorful system monitor."
# G,https://github.com/LukeSmithxyz/dwmblocks.git,"serves as the modular status bar."
# G,https://github.com/lukesmithxyz/dmenu.git,"runs commands and provides a UI for selection."
# G,https://github.com/lukesmithxyz/st.git,"is my custom build of suckless's terminal emulator."
# G,https://github.com/lukesmithxyz/dwm.git,"is the window manager."
desktop,,mutt-wizard-git,"is a light-weight terminal-based email system."
desktop,,slock,"allows you to lock your computer, and quickly unlock with your password."
desktop,,socat,"is a utility which establishes two byte streams and transfers data between them."
desktop,,moreutils,"is a collection of useful unix tools."
# ,tesseract,"command-line OCR engine for advance maimpick"
# ,tesseract-data-eng,"english language pack for OCR"
